ID	FactorValue..AGE.	FactorValue..GENOTYPE.
GSM462446	28 days	wild-type
GSM462447	28 days	wild-type
GSM462448	28 days	wild-type
GSM462449	42 days	wild-type
GSM462450	42 days	wild-type
GSM462451	42 days	wild-type
GSM462452	56 days	wild-type
GSM462453	56 days	wild-type
GSM462454	56 days	wild-type
GSM462455	70 days	wild-type
GSM462456	70 days	wild-type
GSM462457	70 days	wild-type
GSM462458	98 days	wild-type
GSM462459	98 days	wild-type
GSM462460	98 days	wild-type
GSM462461	112 days	wild-type
GSM462462	112 days	wild-type
GSM462463	112 days	wild-type
GSM462464	126 days	wild-type
GSM462465	126 days	wild-type
GSM462466	126 days	wild-type
GSM462467	28 days	SOD1G93A
GSM462468	28 days	SOD1G93A
GSM462469	28 days	SOD1G93A
GSM462470	42 days	SOD1G93A
GSM462471	42 days	SOD1G93A
GSM462472	42 days	SOD1G93A
GSM462473	56 days	SOD1G93A
GSM462474	56 days	SOD1G93A
GSM462475	56 days	SOD1G93A
GSM462476	70 days	SOD1G93A
GSM462477	70 days	SOD1G93A
GSM462478	70 days	SOD1G93A
GSM462479	98 days	SOD1G93A
GSM462480	98 days	SOD1G93A
GSM462481	98 days	SOD1G93A
GSM462482	112 days	SOD1G93A
GSM462483	112 days	SOD1G93A
GSM462484	112 days	SOD1G93A
GSM462485	126 days	SOD1G93A
GSM462486	126 days	SOD1G93A
GSM462487	126 days	SOD1G93A
